Neighborhood,Venue,Venue Latitude,Venue Longitude,Venue Category
PENBROOKE MEADOWS,C&C Hauling,51.04249,-113.944358,Business Service
PENBROOKE MEADOWS,Royal Canadian Fried Chicken,51.048209,-113.953608,Fried Chicken Joint
RED CARPET,Teaopia,51.04055081289673,-113.94035271116584,Tea Room
RED CARPET,C&C Hauling,51.04249,-113.944358,Business Service
RED CARPET,Boddum's Up,51.038793857024565,-113.94219409762844,Bar
FOREST LAWN,Dairy Queen,51.037464623765885,-113.9680822976743,Ice Cream Shop
FOREST LAWN,Indonesian Kitchen,51.03768303347933,-113.97751284349131,Indonesian Restaurant
FOREST LAWN,Merv's No Frills,51.03757,-113.968901,Grocery Store
FOREST LAWN,Pho Binh Minh,51.038649062812816,-113.96607401644197,Vietnamese Restaurant
FOREST LAWN,Pizza Hut,51.03813260145554,-113.965998,Pizza Place
FOREST LAWN,7-Eleven,51.03818957095546,-113.97836198564619,Convenience Store
FOREST LAWN,McDonald's,51.03749576846379,-113.96757250673971,Fast Food Restaurant
FOREST LAWN,East Gate Chinese Restaurant,51.038051286972454,-113.97112451973476,Chinese Restaurant
FOREST LAWN,Eat-A-Pita,51.038169269722914,-113.96823048591614,Mediterranean Restaurant
FOREST LAWN,Giant Tiger,51.03865149800417,-113.96730272942382,Department Store
FOREST LAWN,Phở 26,51.037448,-113.976595,Vietnamese Restaurant
PENBROOKE MEADOWS,Blue Electrical Services & Technology,51.047145,-113.948472,Construction & Landscaping
PENBROOKE MEADOWS,C&C Hauling,51.04249,-113.944358,Business Service
PENBROOKE MEADOWS,Royal Canadian Fried Chicken,51.048209,-113.953608,Fried Chicken Joint
ERIN WOODS,Erin Woods Community Centre,51.022692064660426,-113.96393868638627,Park
ERIN WOODS,erin woods park,51.019765627385226,-113.97317943629504,Park
ERIN WOODS,True Horizon Inc,51.01719696489926,-113.9640998840332,Health Food Store
APPLEWOOD PARK,Creepy Alley,51.04322241080991,-113.9304972445801,Park
APPLEWOOD PARK,Furniture Relocators,51.04767682677552,-113.93010513806075,Home Service
APPLEWOOD PARK,Applewood Liquor Store,51.04139985113025,-113.9304011047195,Liquor Store
APPLEWOOD PARK,Calgary Greenway,51.048401235667406,-113.92391932515334,Trail
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
FOOTHILLS,Staples,50.998038289359165,-113.98138403892517,Paper / Office Supplies Store
FOOTHILLS,Subway,50.998396135163446,-113.98115803086341,Sandwich Place
FOOTHILLS,Southview Vietnamese Village,50.9983,-113.982891,Vietnamese Restaurant
FOOTHILLS,Taco Time,50.99860007571267,-113.98212842626005,Taco Place
FOREST LAWN,Dairy Queen,51.037464623765885,-113.9680822976743,Ice Cream Shop
FOREST LAWN,Indonesian Kitchen,51.03768303347933,-113.97751284349131,Indonesian Restaurant
FOREST LAWN,Merv's No Frills,51.03757,-113.968901,Grocery Store
FOREST LAWN,Pho Binh Minh,51.038649062812816,-113.96607401644197,Vietnamese Restaurant
FOREST LAWN,Pizza Hut,51.03813260145554,-113.965998,Pizza Place
FOREST LAWN,7-Eleven,51.03818957095546,-113.97836198564619,Convenience Store
FOREST LAWN,McDonald's,51.03749576846379,-113.96757250673971,Fast Food Restaurant
FOREST LAWN,East Gate Chinese Restaurant,51.038051286972454,-113.97112451973476,Chinese Restaurant
FOREST LAWN,Eat-A-Pita,51.038169269722914,-113.96823048591614,Mediterranean Restaurant
FOREST LAWN,Giant Tiger,51.03865149800417,-113.96730272942382,Department Store
FOREST LAWN,Phở 26,51.037448,-113.976595,Vietnamese Restaurant
ERIN WOODS,Erin Woods Community Centre,51.022692064660426,-113.96393868638627,Park
ERIN WOODS,erin woods park,51.019765627385226,-113.97317943629504,Park
ERIN WOODS,True Horizon Inc,51.01719696489926,-113.9640998840332,Health Food Store
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
PENBROOKE MEADOWS,Blue Electrical Services & Technology,51.047145,-113.948472,Construction & Landscaping
PENBROOKE MEADOWS,C&C Hauling,51.04249,-113.944358,Business Service
PENBROOKE MEADOWS,Royal Canadian Fried Chicken,51.048209,-113.953608,Fried Chicken Joint
VALLEYFIELD,Road King Truck Stop,51.010588836292335,-114.00377343261962,Diner
VALLEYFIELD,Wendy’s,51.0129442,-113.999924,Fast Food Restaurant
VALLEYFIELD,Petro-Pass Truck Stop,51.008293,-114.000357,Gas Station
VALLEYFIELD,Drifters,51.008080363386604,-114.00058108427352,Diner
VALLEYFIELD,J's Wok N Grill,51.010599281956935,-114.00377931145339,Asian Restaurant
VALLEYFIELD,Tim Hortons,51.01019733743138,-114.00425255298615,Coffee Shop
VALLEYFIELD,After Eight Interiors,51.006916,-114.005843,Carpet Store
FOREST HEIGHTS,TD Canada Trust,51.0523991,-113.9706429,Bank
FOREST HEIGHTS,Keeler Rink,51.04929475968322,-113.96373293173792,Skating Rink
FOREST LAWN INDUSTRIAL,7-11,51.029968073879374,-113.95833373336123,Convenience Store
FOREST LAWN INDUSTRIAL,Star Liquor Store,51.02388592352846,-113.95982504626708,Liquor Store
SOUTHVIEW,International Avenue @ 26th Street SE,51.037318080242116,-113.99581950454781,Bus Station
SOUTHVIEW,Inglewood Golf & Curling Club,51.03036106416569,-113.99888106509852,Golf Course
APPLEWOOD PARK,Creepy Alley,51.04322241080991,-113.9304972445801,Park
APPLEWOOD PARK,Furniture Relocators,51.04767682677552,-113.93010513806075,Home Service
APPLEWOOD PARK,Applewood Liquor Store,51.04139985113025,-113.9304011047195,Liquor Store
APPLEWOOD PARK,Calgary Greenway,51.048401235667406,-113.92391932515334,Trail
SOUTHVIEW,International Avenue @ 26th Street SE,51.037318080242116,-113.99581950454781,Bus Station
SOUTHVIEW,Inglewood Golf & Curling Club,51.03036106416569,-113.99888106509852,Golf Course
ERIN WOODS,Erin Woods Community Centre,51.022692064660426,-113.96393868638627,Park
ERIN WOODS,erin woods park,51.019765627385226,-113.97317943629504,Park
ERIN WOODS,True Horizon Inc,51.01719696489926,-113.9640998840332,Health Food Store
SOUTHVIEW,International Avenue @ 26th Street SE,51.037318080242116,-113.99581950454781,Bus Station
SOUTHVIEW,Inglewood Golf & Curling Club,51.03036106416569,-113.99888106509852,Golf Course
FOREST HEIGHTS,TD Canada Trust,51.0523991,-113.9706429,Bank
FOREST HEIGHTS,Keeler Rink,51.04929475968322,-113.96373293173792,Skating Rink
VALLEYFIELD,Road King Truck Stop,51.010588836292335,-114.00377343261962,Diner
VALLEYFIELD,Wendy’s,51.0129442,-113.999924,Fast Food Restaurant
VALLEYFIELD,Petro-Pass Truck Stop,51.008293,-114.000357,Gas Station
VALLEYFIELD,Drifters,51.008080363386604,-114.00058108427352,Diner
VALLEYFIELD,J's Wok N Grill,51.010599281956935,-114.00377931145339,Asian Restaurant
VALLEYFIELD,Tim Hortons,51.01019733743138,-114.00425255298615,Coffee Shop
VALLEYFIELD,After Eight Interiors,51.006916,-114.005843,Carpet Store
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
FOREST HEIGHTS,TD Canada Trust,51.0523991,-113.9706429,Bank
FOREST HEIGHTS,Keeler Rink,51.04929475968322,-113.96373293173792,Skating Rink
PENBROOKE MEADOWS,Blue Electrical Services & Technology,51.047145,-113.948472,Construction & Landscaping
PENBROOKE MEADOWS,C&C Hauling,51.04249,-113.944358,Business Service
PENBROOKE MEADOWS,Royal Canadian Fried Chicken,51.048209,-113.953608,Fried Chicken Joint
FOOTHILLS,Staples,50.998038289359165,-113.98138403892517,Paper / Office Supplies Store
FOOTHILLS,Subway,50.998396135163446,-113.98115803086341,Sandwich Place
FOOTHILLS,Southview Vietnamese Village,50.9983,-113.982891,Vietnamese Restaurant
FOOTHILLS,Taco Time,50.99860007571267,-113.98212842626005,Taco Place
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
VALLEYFIELD,Road King Truck Stop,51.010588836292335,-114.00377343261962,Diner
VALLEYFIELD,Wendy’s,51.0129442,-113.999924,Fast Food Restaurant
VALLEYFIELD,Petro-Pass Truck Stop,51.008293,-114.000357,Gas Station
VALLEYFIELD,Drifters,51.008080363386604,-114.00058108427352,Diner
VALLEYFIELD,J's Wok N Grill,51.010599281956935,-114.00377931145339,Asian Restaurant
VALLEYFIELD,Tim Hortons,51.01019733743138,-114.00425255298615,Coffee Shop
VALLEYFIELD,After Eight Interiors,51.006916,-114.005843,Carpet Store
FOREST LAWN,Dairy Queen,51.037464623765885,-113.9680822976743,Ice Cream Shop
FOREST LAWN,Indonesian Kitchen,51.03768303347933,-113.97751284349131,Indonesian Restaurant
FOREST LAWN,Merv's No Frills,51.03757,-113.968901,Grocery Store
FOREST LAWN,Pho Binh Minh,51.038649062812816,-113.96607401644197,Vietnamese Restaurant
FOREST LAWN,Pizza Hut,51.03813260145554,-113.965998,Pizza Place
FOREST LAWN,7-Eleven,51.03818957095546,-113.97836198564619,Convenience Store
FOREST LAWN,McDonald's,51.03749576846379,-113.96757250673971,Fast Food Restaurant
FOREST LAWN,East Gate Chinese Restaurant,51.038051286972454,-113.97112451973476,Chinese Restaurant
FOREST LAWN,Eat-A-Pita,51.038169269722914,-113.96823048591614,Mediterranean Restaurant
FOREST LAWN,Giant Tiger,51.03865149800417,-113.96730272942382,Department Store
FOREST LAWN,Phở 26,51.037448,-113.976595,Vietnamese Restaurant
FOOTHILLS,Staples,50.998038289359165,-113.98138403892517,Paper / Office Supplies Store
FOOTHILLS,Subway,50.998396135163446,-113.98115803086341,Sandwich Place
FOOTHILLS,Southview Vietnamese Village,50.9983,-113.982891,Vietnamese Restaurant
FOOTHILLS,Taco Time,50.99860007571267,-113.98212842626005,Taco Place
FOREST LAWN INDUSTRIAL,7-11,51.029968073879374,-113.95833373336123,Convenience Store
FOREST LAWN INDUSTRIAL,Star Liquor Store,51.02388592352846,-113.95982504626708,Liquor Store
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
RED CARPET,Teaopia,51.04055081289673,-113.94035271116584,Tea Room
RED CARPET,C&C Hauling,51.04249,-113.944358,Business Service
RED CARPET,Boddum's Up,51.038793857024565,-113.94219409762844,Bar
PENBROOKE MEADOWS,Blue Electrical Services & Technology,51.047145,-113.948472,Construction & Landscaping
PENBROOKE MEADOWS,C&C Hauling,51.04249,-113.944358,Business Service
PENBROOKE MEADOWS,Royal Canadian Fried Chicken,51.048209,-113.953608,Fried Chicken Joint
SOUTHVIEW,International Avenue @ 26th Street SE,51.037318080242116,-113.99581950454781,Bus Station
SOUTHVIEW,Inglewood Golf & Curling Club,51.03036106416569,-113.99888106509852,Golf Course
APPLEWOOD PARK,Creepy Alley,51.04322241080991,-113.9304972445801,Park
APPLEWOOD PARK,Furniture Relocators,51.04767682677552,-113.93010513806075,Home Service
APPLEWOOD PARK,Applewood Liquor Store,51.04139985113025,-113.9304011047195,Liquor Store
APPLEWOOD PARK,Calgary Greenway,51.048401235667406,-113.92391932515334,Trail
FOREST LAWN INDUSTRIAL,7-11,51.029968073879374,-113.95833373336123,Convenience Store
FOREST LAWN INDUSTRIAL,Star Liquor Store,51.02388592352846,-113.95982504626708,Liquor Store
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
FOREST LAWN,Dairy Queen,51.037464623765885,-113.9680822976743,Ice Cream Shop
FOREST LAWN,Indonesian Kitchen,51.03768303347933,-113.97751284349131,Indonesian Restaurant
FOREST LAWN,Merv's No Frills,51.03757,-113.968901,Grocery Store
FOREST LAWN,Pho Binh Minh,51.038649062812816,-113.96607401644197,Vietnamese Restaurant
FOREST LAWN,Pizza Hut,51.03813260145554,-113.965998,Pizza Place
FOREST LAWN,7-Eleven,51.03818957095546,-113.97836198564619,Convenience Store
FOREST LAWN,McDonald's,51.03749576846379,-113.96757250673971,Fast Food Restaurant
FOREST LAWN,East Gate Chinese Restaurant,51.038051286972454,-113.97112451973476,Chinese Restaurant
FOREST LAWN,Eat-A-Pita,51.038169269722914,-113.96823048591614,Mediterranean Restaurant
FOREST LAWN,Giant Tiger,51.03865149800417,-113.96730272942382,Department Store
FOREST LAWN,Phở 26,51.037448,-113.976595,Vietnamese Restaurant
RED CARPET,Teaopia,51.04055081289673,-113.94035271116584,Tea Room
RED CARPET,C&C Hauling,51.04249,-113.944358,Business Service
RED CARPET,Boddum's Up,51.038793857024565,-113.94219409762844,Bar
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
APPLEWOOD PARK,Creepy Alley,51.04322241080991,-113.9304972445801,Park
APPLEWOOD PARK,Furniture Relocators,51.04767682677552,-113.93010513806075,Home Service
APPLEWOOD PARK,Applewood Liquor Store,51.04139985113025,-113.9304011047195,Liquor Store
APPLEWOOD PARK,Calgary Greenway,51.048401235667406,-113.92391932515334,Trail
PENBROOKE MEADOWS,Blue Electrical Services & Technology,51.047145,-113.948472,Construction & Landscaping
PENBROOKE MEADOWS,C&C Hauling,51.04249,-113.944358,Business Service
PENBROOKE MEADOWS,Royal Canadian Fried Chicken,51.048209,-113.953608,Fried Chicken Joint
APPLEWOOD PARK,Creepy Alley,51.04322241080991,-113.9304972445801,Park
APPLEWOOD PARK,Furniture Relocators,51.04767682677552,-113.93010513806075,Home Service
APPLEWOOD PARK,Applewood Liquor Store,51.04139985113025,-113.9304011047195,Liquor Store
APPLEWOOD PARK,Calgary Greenway,51.048401235667406,-113.92391932515334,Trail
FOOTHILLS,Staples,50.998038289359165,-113.98138403892517,Paper / Office Supplies Store
FOOTHILLS,Subway,50.998396135163446,-113.98115803086341,Sandwich Place
FOOTHILLS,Southview Vietnamese Village,50.9983,-113.982891,Vietnamese Restaurant
FOOTHILLS,Taco Time,50.99860007571267,-113.98212842626005,Taco Place
FOREST LAWN INDUSTRIAL,7-11,51.029968073879374,-113.95833373336123,Convenience Store
FOREST LAWN INDUSTRIAL,Star Liquor Store,51.02388592352846,-113.95982504626708,Liquor Store
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.04729736028417,-113.99437040725773,Light Rail Station
ALBERT PARK/RADISSON HEIGHTS,Vivint Smart Home,51.04683410651757,-114.0007334947586,Home Service
ALBERT PARK/RADISSON HEIGHTS,Franklin (C-Train),51.047286158395586,-113.99354353983566,Train Station
FOOTHILLS,Staples,50.998038289359165,-113.98138403892517,Paper / Office Supplies Store
FOOTHILLS,Subway,50.998396135163446,-113.98115803086341,Sandwich Place
FOOTHILLS,Southview Vietnamese Village,50.9983,-113.982891,Vietnamese Restaurant
FOOTHILLS,Taco Time,50.99860007571267,-113.98212842626005,Taco Place
VALLEYFIELD,Road King Truck Stop,51.010588836292335,-114.00377343261962,Diner
VALLEYFIELD,Wendy’s,51.0129442,-113.999924,Fast Food Restaurant
VALLEYFIELD,Petro-Pass Truck Stop,51.008293,-114.000357,Gas Station
VALLEYFIELD,Drifters,51.008080363386604,-114.00058108427352,Diner
VALLEYFIELD,J's Wok N Grill,51.010599281956935,-114.00377931145339,Asian Restaurant
VALLEYFIELD,Tim Hortons,51.01019733743138,-114.00425255298615,Coffee Shop
VALLEYFIELD,After Eight Interiors,51.006916,-114.005843,Carpet Store
VALLEYFIELD,Road King Truck Stop,51.010588836292335,-114.00377343261962,Diner
VALLEYFIELD,Wendy’s,51.0129442,-113.999924,Fast Food Restaurant
VALLEYFIELD,Petro-Pass Truck Stop,51.008293,-114.000357,Gas Station
VALLEYFIELD,Drifters,51.008080363386604,-114.00058108427352,Diner
VALLEYFIELD,J's Wok N Grill,51.010599281956935,-114.00377931145339,Asian Restaurant
VALLEYFIELD,Tim Hortons,51.01019733743138,-114.00425255298615,Coffee Shop
VALLEYFIELD,After Eight Interiors,51.006916,-114.005843,Carpet Store
DOVER,Sammy's Chophouse,51.022584,-113.989956,Diner
DOVER,Ballpark,51.020897717488594,-113.99582687604327,Baseball Field
DOVER,Valleyview Spray Park & Playground,51.02636931472028,-113.99396267893164,Playground
FOREST LAWN,Dairy Queen,51.037464623765885,-113.9680822976743,Ice Cream Shop
FOREST LAWN,Indonesian Kitchen,51.03768303347933,-113.97751284349131,Indonesian Restaurant
FOREST LAWN,Merv's No Frills,51.03757,-113.968901,Grocery Store
FOREST LAWN,Pho Binh Minh,51.038649062812816,-113.96607401644197,Vietnamese Restaurant
FOREST LAWN,Pizza Hut,51.03813260145554,-113.965998,Pizza Place
FOREST LAWN,7-Eleven,51.03818957095546,-113.97836198564619,Convenience Store
FOREST LAWN,McDonald's,51.03749576846379,-113.96757250673971,Fast Food Restaurant
FOREST LAWN,East Gate Chinese Restaurant,51.038051286972454,-113.97112451973476,Chinese Restaurant
FOREST LAWN,Eat-A-Pita,51.038169269722914,-113.96823048591614,Mediterranean Restaurant
FOREST LAWN,Giant Tiger,51.03865149800417,-113.96730272942382,Department Store
FOREST LAWN,Phở 26,51.037448,-113.976595,Vietnamese Restaurant
FOREST HEIGHTS,TD Canada Trust,51.0523991,-113.9706429,Bank
FOREST HEIGHTS,Keeler Rink,51.04929475968322,-113.96373293173792,Skating Rink
FOREST HEIGHTS,TD Canada Trust,51.0523991,-113.9706429,Bank
FOREST HEIGHTS,Keeler Rink,51.04929475968322,-113.96373293173792,Skating Rink
